"Currency","Symbol","Digital Code","Class","Name","Country","Decimal Places","Decimal Sign","Grouping Sign","Symbol Separator","Symbol Ahead","Convertion"
"HRK","Kn","191","Kuna","Croatian Kuna","Croatia","2",",",".","\u00A0","False",""
"HTG","G","332","Gourde","Gourde","Haiti","2",".",",","\u00A0","True",""
"HUF","Ft","348","Forint","Forint","Hungary","0",",","\u202F","\u00A0","False",""
"IDR","Rp","360","Rupiah","Rupiah","Indonesia","2",",",".","\u00A0","True",""
"ILS","₪","376","Shekel","New Israeli Shekel","Israel","2",".",",","\u00A0","False",""
"ILS","₪","376","Shekel","New Israeli Shekel","Palestine","2",".",",","\u00A0","False",""
"INR","₹","356","Rupee","Indian Rupee","Bhutan","2",".",",","","True",""
"INR","₹","356","Rupee","Indian Rupee","India","2",".",",","","True",""
"IQD","ع.د","368","Dinar","Iraqi Dinar","Iraq","3","\u066B","\u066C","\u00A0","True","٠١٢٣٤٥٦٧٨٩-"
"IRR","﷼","364","Rial","Iranian Rial","Iran","2","\u066B","\u066C","\u00A0","False","۰۱۲۳۴۵۶۷۸۹-"
"ISK","Kr","352","Krona","Iceland Krona","Iceland","0",",",".","\u00A0","False",""
"JMD","$","388","Dollar","Jamaican Dollar","Jamaica","2",".",",","","True",""
"JOD","د.ا","400","Dinar","Jordanian Dinar","Jordan","3","\u066B","\u066C","\u00A0","True","٠١٢٣٤٥٦٧٨٩-"
"JPY","¥","392","Yen","Yen","Japan","0",".",",","","True",""
"KES","Ksh","404","Shilling","Kenyan Shilling","Kenya","2",".",",","\u00A0","True",""
"KGS","Лв","417","Som","Som","Kyrgyzstan","2",",","\u202F","\u00A0","False",""
"KHR","៛","116","Riel","Riel","Cambodia","2",",",".","","False",""
"KPW","₩","408","Won","North Korean Won","North Korea","2",".",",","\u00A0","True",""
"KRW","₩","410","Won","South Korean Won","South Korea","0",".",",","","True",""
"KWD","د.ك","414","Dinar","Kuwaiti Dinar","Kuwait","3","\u066B","\u066C","\u00A0","True","٠١٢٣٤٥٦٧٨٩-"
"KYD","$","136","Dollar","Cayman Islands Dollar","Cayman Islands","2",".",",","","True",""
"KZT","〒","398","Tenge","Tenge","Kazakhstan","2",",","\u202F","\u00A0","False",""
"LAK","₭","418","Kip","Kip","Laos","2",",",".","","True",""
"LBP","ل.ل","422","Pound","Lebanese Pound","Lebanon","0","\u066B","\u066C","\u00A0","True","٠١٢٣٤٥٦٧٨٩-"
"LKR","රු.","144","Rupee","Sri Lanka Rupee","Sri Lanka","2",".",",","\u00A0","True",""
